               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.044532,            0.020593,           0.0012408,             0.74472,             0.70443,             0.76421,             0.43715,            0.044843,            0.019022,           0.0017791,           0.0095644,           0.0095644,           0.0095644
                  46,            0.044601,            0.020869,           0.0011563,             0.75402,             0.76485,             0.78425,             0.47648,            0.044329,            0.018874,           0.0018202,           0.0095545,           0.0095545,           0.0095545
                  47,            0.045166,            0.020625,           0.0010952,             0.76174,             0.64878,             0.72887,             0.43028,            0.044365,            0.018732,            0.001796,           0.0095446,           0.0095446,           0.0095446
                  48,            0.044223,            0.020712,           0.0010428,             0.77338,               0.747,             0.77156,             0.45853,            0.044252,            0.018389,            0.001708,           0.0095347,           0.0095347,           0.0095347
                  49,             0.04425,            0.020983,           0.0010907,             0.77848,             0.65268,             0.73556,             0.40857,            0.045446,             0.01869,           0.0018585,           0.0095248,           0.0095248,           0.0095248
                  50,             0.04439,            0.020548,           0.0012558,             0.75053,             0.75148,             0.76624,             0.45409,            0.044082,            0.018341,           0.0018794,           0.0095149,           0.0095149,           0.0095149
                  51,            0.044096,            0.020272,           0.0012639,             0.75531,             0.72801,             0.76539,              0.4812,            0.043319,            0.018496,           0.0017239,            0.009505,            0.009505,            0.009505
                  52,            0.043933,            0.020675,           0.0012739,             0.75991,             0.72321,             0.74434,             0.45127,            0.043811,            0.018539,           0.0020626,           0.0094951,           0.0094951,           0.0094951
                  53,            0.044019,             0.02054,            0.001021,             0.79518,             0.71908,             0.77573,             0.47372,             0.04433,            0.018275,           0.0017161,           0.0094852,           0.0094852,           0.0094852
                  54,            0.043972,            0.020351,           0.0010424,             0.78416,             0.76446,             0.78935,              0.4857,             0.04316,             0.01799,           0.0017624,           0.0094753,           0.0094753,           0.0094753
                  55,            0.043528,            0.020508,           0.0010183,             0.76338,             0.74945,             0.77765,             0.47252,            0.043828,            0.018301,           0.0018426,           0.0094654,           0.0094654,           0.0094654
